edge,title
"('r3d100010606', 'ecology')",CONTAINS
"('r3d100010606', 'ecosystem')",CONTAINS
"('r3d100010606', 'nature')",CONTAINS
"('r3d100010606', 'Audiovisual data')",HAS_CONTENT
"('r3d100010606', 'Images')",HAS_CONTENT
"('r3d100010606', 'Networkbased data')",HAS_CONTENT
"('r3d100010606', 'Raw data')",HAS_CONTENT
"('r3d100010606', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010606', 'Software applications')",HAS_CONTENT
"('r3d100010606', 'Standard office documents')",HAS_CONTENT
"('r3d100010606', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010621', 'deu')",WRITTEN_IN
"('r3d100010621', 'eng')",WRITTEN_IN
"('r3d100010621', '3 Natural Sciences')",ABOUT
"('r3d100010621', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010621', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010621', 'agroclimatology')",CONTAINS
"('r3d100010621', 'atmospheric chemistry')",CONTAINS
"('r3d100010621', 'climate')",CONTAINS
"('r3d100010621', 'human biometeorology')",CONTAINS
"('r3d100010621', 'hydroclimatology')",CONTAINS
"('r3d100010621', 'marine climatology')",CONTAINS
"('r3d100010621', 'medical climatology')",CONTAINS
"('r3d100010621', 'meteorology')",CONTAINS
"('r3d100010621', 'ozone')",CONTAINS
"('r3d100010621', 'phenology')",CONTAINS
"('r3d100010621', 'radioactivity monitoring')",CONTAINS
"('r3d100010621', 'technical climatology')",CONTAINS
"('r3d100010621', 'weather')",CONTAINS
"('r3d100010621', 'Images')",HAS_CONTENT
"('r3d100010621', 'Plain text')",HAS_CONTENT
"('r3d100010621', 'Raw data')",HAS_CONTENT
"('r3d100010621', 'Standard office documents')",HAS_CONTENT
"('r3d100010621', 'Structured text')",HAS_CONTENT
"('r3d100010621', 'other')",HAS_CONTENT
"('r3d100010621', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010621', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010627', 'eng')",WRITTEN_IN
"('r3d100010627', '3 Natural Sciences')",ABOUT
"('r3d100010627', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010627', '31301 Atmospheric Science')",ABOUT
"('r3d100010627', '314 Geology and Palaeontology')",ABOUT
"('r3d100010627', '318 Water Research')",ABOUT
"('r3d100010627', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010627', 'atmospheric warming')",CONTAINS
"('r3d100010627', 'climate change')",CONTAINS
"('r3d100010627', 'geomorphology')",CONTAINS
"('r3d100010627', 'glacier fluctuation')",CONTAINS
"('r3d100010627', 'glaciology')",CONTAINS
"('r3d100010627', 'ice')",CONTAINS
"('r3d100010627', 'snow')",CONTAINS
"('r3d100010627', 'Images')",HAS_CONTENT
"('r3d100010627', 'Networkbased data')",HAS_CONTENT
"('r3d100010627', 'Plain text')",HAS_CONTENT
"('r3d100010627', 'Standard office documents')",HAS_CONTENT
"('r3d100010627', 'other')",HAS_CONTENT
"('r3d100010627', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010668', 'eng')",WRITTEN_IN
"('r3d100010668', '2 Life Sciences')",ABOUT
"('r3d100010668', '207 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010668', '20701 Soil Sciences')",ABOUT
"('r3d100010668', '20704 Ecology of Agricultural Landscapes')",ABOUT
"('r3d100010668', '23 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010668', '3 Natural Sciences')",ABOUT
"('r3d100010668', '31 Chemistry')",ABOUT
"('r3d100010668', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010668', '31301 Atmospheric Science')",ABOUT
"('r3d100010668', '31302 Oceanography')",ABOUT
"('r3d100010668', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010668', '31501 Geophysics')",ABOUT
"('r3d100010668', '316 Geochemistry, Mineralogy and Crystallography')",ABOUT
"('r3d100010668', '31601 Geochemistry, Mineralogy and Crystallography')",ABOUT
"('r3d100010668', '317 Geography')",ABOUT
"('r3d100010668', '318 Water Research')",ABOUT
"('r3d100010668', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010668', 'Weather verification')",CONTAINS
"('r3d100010668', 'World climate')",CONTAINS
"('r3d100010668', 'air quality')",CONTAINS
"('r3d100010668', 'atmospheric dispersion')",CONTAINS
"('r3d100010668', 'health')",CONTAINS
"('r3d100010668', 'weather')",CONTAINS
"('r3d100010668', 'weather forecast')",CONTAINS
"('r3d100010668', 'Images')",HAS_CONTENT
"('r3d100010668', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010668', 'Structured graphics')",HAS_CONTENT
"('r3d100010668', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010791', 'eng')",WRITTEN_IN
"('r3d100010791', '3 Natural Sciences')",ABOUT
"('r3d100010791', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010791', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010791', '31501 Geophysics')",ABOUT
"('r3d100010791', '318 Water Research')",ABOUT
"('r3d100010791', '31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management')",ABOUT
"('r3d100010791', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010791', 'agriculture')",CONTAINS
"('r3d100010791', 'atmosphere')",CONTAINS
"('r3d100010791', 'atmospheric carbon dioxide')",CONTAINS
"('r3d100010791', 'climatology')",CONTAINS
"('r3d100010791', 'cloud physics')",CONTAINS
"('r3d100010791', 'earth sciences')",CONTAINS
"('r3d100010791', 'hazards')",CONTAINS
"('r3d100010791', 'hydrology')",CONTAINS
"('r3d100010791', 'meteorology')",CONTAINS
"('r3d100010791', 'renewable energy')",CONTAINS
"('r3d100010791', 'severe storms')",CONTAINS
"('r3d100010791', 'solar weather')",CONTAINS
"('r3d100010791', 'space weather')",CONTAINS
"('r3d100010791', 'weather science')",CONTAINS
"('r3d100010791', 'wildfire prediction')",CONTAINS
"('r3d100010791', 'Audiovisual data')",HAS_CONTENT
"('r3d100010791', 'Images')",HAS_CONTENT
"('r3d100010791', 'Plain text')",HAS_CONTENT
"('r3d100010791', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010791', 'Standard office documents')",HAS_CONTENT
"('r3d100010791', 'Structured graphics')",HAS_CONTENT
"('r3d100010791', 'other')",HAS_CONTENT
"('r3d100010791', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010791', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010854', 'eng')",WRITTEN_IN
"('r3d100010854', 'fra')",WRITTEN_IN
"('r3d100010854', 'ind')",WRITTEN_IN
"('r3d100010854', 'spa')",WRITTEN_IN
"('r3d100010854', '2 Life Sciences')",ABOUT
"('r3d100010854', '205 Medicine')",ABOUT
"('r3d100010854', '20502 Public Health, Health Services Research, Social Medicine')",ABOUT
"('r3d100010854', '207 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010854', '20704 Ecology of Agricultural Landscapes')",ABOUT
"('r3d100010854', '20708 Agricultural Economics and Sociology')",ABOUT
"('r3d100010854', '22 Medicine')",ABOUT
"('r3d100010854', '23 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010854', '3 Natural Sciences')",ABOUT
"('r3d100010854', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010854', '31301 Atmospheric Science')",ABOUT
"('r3d100010854', '317 Geography')",ABOUT
"('r3d100010854', '31701 Physical Geography')",ABOUT
"('r3d100010854', '318 Water Research')",ABOUT
"('r3d100010854', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010854', 'Africa')",CONTAINS
"('r3d100010854', 'Asia')",CONTAINS
"('r3d100010854', 'Caribbean')",CONTAINS
"('r3d100010854', 'Latin America')",CONTAINS
"('r3d100010854', 'Pacific')",CONTAINS
"('r3d100010854', 'agriculture')",CONTAINS
"('r3d100010854', 'biology')",CONTAINS
"('r3d100010854', 'civilization')",CONTAINS
"('r3d100010854', 'climatology')",CONTAINS
"('r3d100010854', 'economics')",CONTAINS
"('r3d100010854', 'environmental monitoring')",CONTAINS
"('r3d100010854', 'health')",CONTAINS
"('r3d100010854', 'water')",CONTAINS
"('r3d100010854', 'Images')",HAS_CONTENT
"('r3d100010854', 'Plain text')",HAS_CONTENT
"('r3d100010854', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010854', 'Standard office documents')",HAS_CONTENT
"('r3d100010854', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010860', 'eng')",WRITTEN_IN
"('r3d100010860', '3 Natural Sciences')",ABOUT
"('r3d100010860', '311 Astrophysics and Astronomy')",ABOUT
"('r3d100010860', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010860', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010860', '32 Physics')",ABOUT
"('r3d100010860', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010860', 'Terra satellite')",CONTAINS
"('r3d100010860', 'atmospheric aerosols')",CONTAINS
"('r3d100010860', 'climatology')",CONTAINS
"('r3d100010860', 'clouds')",CONTAINS
"('r3d100010860', 'earth observing system')",CONTAINS
"('r3d100010860', 'solar radiation')",CONTAINS
"('r3d100010860', 'spectral response curve')",CONTAINS
"('r3d100010860', 'spectroradiometer')",CONTAINS
"('r3d100010860', 'Images')",HAS_CONTENT
"('r3d100010860', 'Raw data')",HAS_CONTENT
"('r3d100010860', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010860', 'Standard office documents')",HAS_CONTENT
"('r3d100010860', 'Structured graphics')",HAS_CONTENT
"('r3d100010860', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010867', 'eng')",WRITTEN_IN
"('r3d100010867', '3 Natural Sciences')",ABOUT
"('r3d100010867', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010867', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010867', '317 Geography')",ABOUT
"('r3d100010867', '318 Water Research')",ABOUT
"('r3d100010867', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010867', '3DModel')",CONTAINS
"('r3d100010867', 'climate processes')",CONTAINS
"('r3d100010867', 'climatology')",CONTAINS
"('r3d100010867', 'earth science')",CONTAINS
"('r3d100010867', 'hazards')",CONTAINS
"('r3d100010867', 'rain and rainfall')",CONTAINS
"('r3d100010867', 'satellite')",CONTAINS
"('r3d100010867', 'spacecraft')",CONTAINS
"('r3d100010867', 'stroms')",CONTAINS
"('r3d100010867', 'tropics')",CONTAINS
"('r3d100010867', 'water and energy cycles')",CONTAINS
"('r3d100010867', 'weather forecast')",CONTAINS
"('r3d100010867', 'Databases')",HAS_CONTENT
"('r3d100010867', 'Images')",HAS_CONTENT
"('r3d100010867', 'Plain text')",HAS_CONTENT
"('r3d100010867', 'Raw data')",HAS_CONTENT
"('r3d100010867', 'Standard office documents')",HAS_CONTENT
"('r3d100010867', 'Structured graphics')",HAS_CONTENT
"('r3d100010867', 'other')",HAS_CONTENT
"('r3d100010867', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010894', 'eng')",WRITTEN_IN
"('r3d100010894', '3 Natural Sciences')",ABOUT
"('r3d100010894', '31 Chemistry')",ABOUT
"('r3d100010894', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010894', '31301 Atmospheric Science')",ABOUT
"('r3d100010894', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010894', 'climatology')",CONTAINS
"('r3d100010894', 'cloud forecasting')",CONTAINS
"('r3d100010894', 'cloud physics')",CONTAINS
"('r3d100010894', 'clouds')",CONTAINS
"('r3d100010894', 'hydrologic cycle')",CONTAINS
"('r3d100010894', 'hydrology')",CONTAINS
"('r3d100010894', 'meteorology')",CONTAINS
"('r3d100010894', 'radiation')",CONTAINS
"('r3d100010894', 'Audiovisual data')",HAS_CONTENT
"('r3d100010894', 'Images')",HAS_CONTENT
"('r3d100010894', 'Structured graphics')",HAS_CONTENT
"('r3d100010894', 'other')",HAS_CONTENT
"('r3d100010894', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010914', 'eng')",WRITTEN_IN
"('r3d100010914', '3 Natural Sciences')",ABOUT
"('r3d100010914', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010914', '31302 Oceanography')",ABOUT
"('r3d100010914', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010914', '31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy')",ABOUT
"('r3d100010914', '317 Geography')",ABOUT
"('r3d100010914', '318 Water Research')",ABOUT
"('r3d100010914', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010914', 'australia')",CONTAINS
"('r3d100010914', 'climatology')",CONTAINS
"('r3d100010914', 'marine sciences')",CONTAINS
"('r3d100010914', 'ocean maps')",CONTAINS
"('r3d100010914', 'Archived data')",HAS_CONTENT
"('r3d100010914', 'Images')",HAS_CONTENT
"('r3d100010914', 'Raw data')",HAS_CONTENT
"('r3d100010914', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010914', 'Structured graphics')",HAS_CONTENT
"('r3d100010914', 'Structured text')",HAS_CONTENT
"('r3d100010914', 'other')",HAS_CONTENT
"('r3d100010914', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010914', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010919', 'eng')",WRITTEN_IN
"('r3d100010919', '3 Natural Sciences')",ABOUT
"('r3d100010919', '32 Physics')",ABOUT
"('r3d100010919', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010919', 'animals')",CONTAINS
"('r3d100010919', 'fresh water')",CONTAINS
"('r3d100010919', 'ocean')",CONTAINS
"('r3d100010919', 'plants')",CONTAINS
"('r3d100010919', 'vegetation and climate')",CONTAINS
"('r3d100010919', 'Databases')",HAS_CONTENT
"('r3d100010919', 'Standard office documents')",HAS_CONTENT
"('r3d100010919', 'Structured graphics')",HAS_CONTENT
"('r3d100010919', 'Structured text')",HAS_CONTENT
"('r3d100010919', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010919', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010942', 'eng')",WRITTEN_IN
"('r3d100010942', '3 Natural Sciences')",ABOUT
"('r3d100010942', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010942', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010942', 'atmosphere')",CONTAINS
"('r3d100010942', 'climatic changes')",CONTAINS
"('r3d100010942', 'climatic extremes')",CONTAINS
"('r3d100010942', 'climatology')",CONTAINS
"('r3d100010942', 'maps')",CONTAINS
"('r3d100010942', 'meteorology')",CONTAINS
"('r3d100010942', 'precipitation (meteorology)')",CONTAINS
"('r3d100010942', 'remote sensing')",CONTAINS
"('r3d100010942', 'weather')",CONTAINS
"('r3d100010942', 'weather forecasting')",CONTAINS
"('r3d100010942', 'Plain text')",HAS_CONTENT
"('r3d100010942', 'Raw data')",HAS_CONTENT
"('r3d100010942', 'Standard office documents')",HAS_CONTENT
"('r3d100010942', 'Structured graphics')",HAS_CONTENT
"('r3d100010942', 'other')",HAS_CONTENT
"('r3d100010942', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010942', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010944', 'eng')",WRITTEN_IN
"('r3d100010944', 'fra')",WRITTEN_IN
"('r3d100010944', 'rus')",WRITTEN_IN
"('r3d100010944', 'spa')",WRITTEN_IN
"('r3d100010944', '3 Natural Sciences')",ABOUT
"('r3d100010944', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010944', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010944', 'atmosphere')",CONTAINS
"('r3d100010944', 'climate change mitigation')",CONTAINS
"('r3d100010944', 'climatology')",CONTAINS
"('r3d100010944', 'environmental sciences')",CONTAINS
"('r3d100010944', 'fisheries')",CONTAINS
"('r3d100010944', 'global weather experiment project')",CONTAINS
"('r3d100010944', 'hydrology')",CONTAINS
"('r3d100010944', 'oceanography')",CONTAINS
"('r3d100010944', 'topoclimatology')",CONTAINS
"('r3d100010944', 'weather')",CONTAINS
"('r3d100010944', 'Images')",HAS_CONTENT
"('r3d100010944', 'Raw data')",HAS_CONTENT
"('r3d100010944', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010944', 'Software applications')",HAS_CONTENT
"('r3d100010944', 'Structured graphics')",HAS_CONTENT
"('r3d100010944', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010954', 'eng')",WRITTEN_IN
"('r3d100010954', '3 Natural Sciences')",ABOUT
"('r3d100010954', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010954', '31301 Atmospheric Science')",ABOUT
"('r3d100010954', '317 Geography')",ABOUT
"('r3d100010954', '31702 Human Geography')",ABOUT
"('r3d100010954', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010954', 'climatology')",CONTAINS
"('r3d100010954', 'earthquake')",CONTAINS
"('r3d100010954', 'forecasts')",CONTAINS
"('r3d100010954', 'ice')",CONTAINS
"('r3d100010954', 'meteorology')",CONTAINS
"('r3d100010954', 'volcanic seismic data')",CONTAINS
"('r3d100010954', 'weather')",CONTAINS
"('r3d100010954', 'Images')",HAS_CONTENT
"('r3d100010954', 'Plain text')",HAS_CONTENT
"('r3d100010954', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010954', 'Structured graphics')",HAS_CONTENT
"('r3d100010954', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010954', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010955', 'eng')",WRITTEN_IN
"('r3d100010955', '3 Natural Sciences')",ABOUT
"('r3d100010955', '31 Chemistry')",ABOUT
"('r3d100010955', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010955', '31301 Atmospheric Science')",ABOUT
"('r3d100010955', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010955', 'aerosols')",CONTAINS
"('r3d100010955', 'arctic regions')",CONTAINS
"('r3d100010955', 'atmospheric radiation')",CONTAINS
"('r3d100010955', 'chemistry')",CONTAINS
"('r3d100010955', 'clouds')",CONTAINS
"('r3d100010955', 'greenhouse gases')",CONTAINS
"('r3d100010955', 'meteorology')",CONTAINS
"('r3d100010955', 'pollutants')",CONTAINS
"('r3d100010955', 'sea ice')",CONTAINS
"('r3d100010955', 'surface energy')",CONTAINS
"('r3d100010955', 'Databases')",HAS_CONTENT
"('r3d100010955', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010955', 'Software applications')",HAS_CONTENT
"('r3d100010955', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010966', 'eng')",WRITTEN_IN
"('r3d100010966', '3 Natural Sciences')",ABOUT
"('r3d100010966', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010966', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010966', 'air quality')",CONTAINS
"('r3d100010966', 'atmosphere')",CONTAINS
"('r3d100010966', 'atmospheric aerosols')",CONTAINS
"('r3d100010966', 'carbon dioxide')",CONTAINS
"('r3d100010966', 'carbon monoxide')",CONTAINS
"('r3d100010966', 'climatic changes')",CONTAINS
"('r3d100010966', 'earth sciences')",CONTAINS
"('r3d100010966', 'greenhouse effect, atmospheric')",CONTAINS
"('r3d100010966', 'greenhouse gases')",CONTAINS
"('r3d100010966', 'halogenation')",CONTAINS
"('r3d100010966', 'hydrocarbons')",CONTAINS
"('r3d100010966', 'methane')",CONTAINS
"('r3d100010966', 'natural gas')",CONTAINS
"('r3d100010966', 'nitrous oxide')",CONTAINS
"('r3d100010966', 'ozone')",CONTAINS
"('r3d100010966', 'ozone layer depletion')",CONTAINS
"('r3d100010966', 'solar radiation')",CONTAINS
"('r3d100010966', 'space sciences')",CONTAINS
"('r3d100010966', 'stratosphere')",CONTAINS
"('r3d100010966', 'Databases')",HAS_CONTENT
"('r3d100010966', 'Images')",HAS_CONTENT
"('r3d100010966', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010966', 'Structured graphics')",HAS_CONTENT
"('r3d100010966', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010966', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100011003', 'eng')",WRITTEN_IN
"('r3d100011003', '3 Natural Sciences')",ABOUT
"('r3d100011003', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011003', '315 Geophysics and Geodesy')",ABOUT
"('r3d100011003', '317 Geography')",ABOUT
"('r3d100011003', '318 Water Research')",ABOUT
"('r3d100011003', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011003', 'Fairbanks (Alaska)')",CONTAINS
"('r3d100011003', 'climate')",CONTAINS
"('r3d100011003', 'forecasting')",CONTAINS
"('r3d100011003', 'hydrology')",CONTAINS
"('r3d100011003', 'marine biology')",CONTAINS
"('r3d100011003', 'meteorology')",CONTAINS
"('r3d100011003', 'precipitation (meteorology)')",CONTAINS
"('r3d100011003', 'rivers - economic aspects')",CONTAINS
"('r3d100011003', 'weather')",CONTAINS
"('r3d100011003', 'weather control')",CONTAINS
"('r3d100011003', 'weather forecasting')",CONTAINS
"('r3d100011003', 'Databases')",HAS_CONTENT
"('r3d100011003', 'Images')",HAS_CONTENT
"('r3d100011003', 'Plain text')",HAS_CONTENT
"('r3d100011003', 'Raw data')",HAS_CONTENT
"('r3d100011003', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100011003', 'Standard office documents')",HAS_CONTENT
"('r3d100011003', 'Structured graphics')",HAS_CONTENT
"('r3d100011003', 'other')",HAS_CONTENT
"('r3d100011003', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100011003', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100011010', 'eng')",WRITTEN_IN
"('r3d100011010', '3 Natural Sciences')",ABOUT
"('r3d100011010', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011010', '314 Geology and Palaeontology')",ABOUT
"('r3d100011010', '315 Geophysics and Geodesy')",ABOUT
"('r3d100011010', '317 Geography')",ABOUT
"('r3d100011010', '318 Water Research')",ABOUT
"('r3d100011010', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011010', 'climatology')",CONTAINS
"('r3d100011010', 'glaciology')",CONTAINS
"('r3d100011010', 'humidity')",CONTAINS
"('r3d100011010', 'ice sheets')",CONTAINS
"('r3d100011010', 'measurements')",CONTAINS
"('r3d100011010', 'physical sciences')",CONTAINS
"('r3d100011010', 'pressure')",CONTAINS
"('r3d100011010', 'temperature')",CONTAINS
"('r3d100011010', 'wind')",CONTAINS
"('r3d100011010', 'Images')",HAS_CONTENT
"('r3d100011010', 'Plain text')",HAS_CONTENT
"('r3d100011010', 'Raw data')",HAS_CONTENT
"('r3d100011010', 'Standard office documents')",HAS_CONTENT
"('r3d100011010', 'Structured graphics')",HAS_CONTENT
"('r3d100011010', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100011014', 'eng')",WRITTEN_IN
"('r3d100011014', 'nor')",WRITTEN_IN
"('r3d100011014', '3 Natural Sciences')",ABOUT
"('r3d100011014', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011014', '31302 Oceanography')",ABOUT
"('r3d100011014', '315 Geophysics and Geodesy')",ABOUT
"('r3d100011014', '31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy')",ABOUT
"('r3d100011014', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011014', 'Svalbard (Norway)')",CONTAINS
"('r3d100011014', 'arctic')",CONTAINS
"('r3d100011014', 'cryosphere')",CONTAINS
"('r3d100011014', 'meteorology')",CONTAINS
"('r3d100011014', 'oceanography')",CONTAINS
"('r3d100011014', 'sea ice')",CONTAINS
"('r3d100011014', 'weather')",CONTAINS
"('r3d100011014', 'weather forecasting')",CONTAINS
"('r3d100011014', 'Archived data')",HAS_CONTENT
"('r3d100011014', 'Databases')",HAS_CONTENT
"('r3d100011014', 'Images')",HAS_CONTENT
"('r3d100011014', 'Networkbased data')",HAS_CONTENT
"('r3d100011014', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100011014', 'Structured graphics')",HAS_CONTENT
"('r3d100011014', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100011014', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100011018', 'eng')",WRITTEN_IN
"('r3d100011018', '3 Natural Sciences')",ABOUT
"('r3d100011018', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011018', '317 Geography')",ABOUT
"('r3d100011018', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011018', 'Canada')",CONTAINS
"('r3d100011018', 'Mexico')",CONTAINS
"('r3d100011018', 'North America')",CONTAINS
"('r3d100011018', 'United States')",CONTAINS
"('r3d100011018', 'aerosols')",CONTAINS
"('r3d100011018', 'air quality')",CONTAINS
"('r3d100011018', 'air quality management')",CONTAINS
"('r3d100011018', 'atmospheric chemistry')",CONTAINS
"('r3d100011018', 'climate change')",CONTAINS
"('r3d100011018', 'climatology')",CONTAINS
"('r3d100011018', 'emissions estimates')",CONTAINS
"('r3d100011018', 'health sciences')",CONTAINS
"('r3d100011018', 'meteorology')",CONTAINS
"('r3d100011018', 'pollutants')",CONTAINS
"('r3d100011018', 'tropospheric chemistry')",CONTAINS
"('r3d100011018', 'Images')",HAS_CONTENT
"('r3d100011018', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100011018', 'Standard office documents')",HAS_CONTENT
"('r3d100011018', 'other')",HAS_CONTENT
"('r3d100011018', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100011018', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100011020', 'eng')",WRITTEN_IN
"('r3d100011020', '3 Natural Sciences')",ABOUT
"('r3d100011020', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011020', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011020', 'Central Arctic')",CONTAINS
"('r3d100011020', 'aerosols')",CONTAINS
"('r3d100011020', 'climatology')",CONTAINS
"('r3d100011020', 'greenhouse effect, atmospheric')",CONTAINS
"('r3d100011020', 'greenhouse gases')",CONTAINS
"('r3d100011020', 'meteorology')",CONTAINS
"('r3d100011020', 'ozone')",CONTAINS
"('r3d100011020', 'Images')",HAS_CONTENT
"('r3d100011020', 'Plain text')",HAS_CONTENT
"('r3d100011020', 'Raw data')",HAS_CONTENT
"('r3d100011020', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100011020', 'Structured graphics')",HAS_CONTENT
"('r3d100011020', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100011057', 'eng')",WRITTEN_IN
"('r3d100011057', '2 Life Sciences')",ABOUT
"('r3d100011057', '207 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100011057', '20704 Ecology of Agricultural Landscapes')",ABOUT
"('r3d100011057', '23 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100011057', '3 Natural Sciences')",ABOUT
"('r3d100011057', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100011057', '31301 Atmospheric Science')",ABOUT
"('r3d100011057', '31302 Oceanography')",ABOUT
"('r3d100011057', '315 Geophysics and Geodesy')",ABOUT
"('r3d100011057', '31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy')",ABOUT
"('r3d100011057', '34 Geosciences (including Geography)')",ABOUT
"('r3d100011057', 'EMSA')",CONTAINS
"('r3d100011057', 'EUROSUR')",CONTAINS
"('r3d100011057', 'FRONTEX')",CONTAINS
"('r3d100011057', 'G-MOSAIC')",CONTAINS
"('r3d100011057', 'SEA')",CONTAINS
