edge,title
"('r3d100010210', 'meteorology')",CONTAINS
"('r3d100010210', 'occurrences of thunderstorms')",CONTAINS
"('r3d100010210', 'precipitation')",CONTAINS
"('r3d100010210', 'soil temperature')",CONTAINS
"('r3d100010210', 'solar radiation')",CONTAINS
"('r3d100010210', 'temperature')",CONTAINS
"('r3d100010210', 'weather phenomena')",CONTAINS
"('r3d100010210', 'wind speed')",CONTAINS
"('r3d100010210', 'Archived data')",HAS_CONTENT
"('r3d100010210', 'Images')",HAS_CONTENT
"('r3d100010210', 'Plain text')",HAS_CONTENT
"('r3d100010210', 'Raw data')",HAS_CONTENT
"('r3d100010210', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010210', 'Standard office documents')",HAS_CONTENT
"('r3d100010210', 'Structured text')",HAS_CONTENT
"('r3d100010210', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010210', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010232', 'eng')",WRITTEN_IN
"('r3d100010232', 'fra')",WRITTEN_IN
"('r3d100010232', '2 Life Sciences')",ABOUT
"('r3d100010232', '207 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010232', '20704 Ecology of Agricultural Landscapes')",ABOUT
"('r3d100010232', '23 Agriculture, Forestry, Horticulture and Veterinary Medicine')",ABOUT
"('r3d100010232', '3 Natural Sciences')",ABOUT
"('r3d100010232', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010232', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010232', '31501 Geophysics')",ABOUT
"('r3d100010232', '317 Geography')",ABOUT
"('r3d100010232', '318 Water Research')",ABOUT
"('r3d100010232', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010232', 'Jason-2')",CONTAINS
"('r3d100010232', 'Meteosat')",CONTAINS
"('r3d100010232', 'Metop')",CONTAINS
"('r3d100010232', 'climate monitoring')",CONTAINS
"('r3d100010232', 'meteorological satellite')",CONTAINS
"('r3d100010232', 'meterology')",CONTAINS
"('r3d100010232', 'remote sensing')",CONTAINS
"('r3d100010232', 'satellite data')",CONTAINS
"('r3d100010232', 'satellite meteorology')",CONTAINS
"('r3d100010232', 'space agencies')",CONTAINS
"('r3d100010232', 'space organisations')",CONTAINS
"('r3d100010232', 'weather prediction')",CONTAINS
"('r3d100010232', 'Archived data')",HAS_CONTENT
"('r3d100010232', 'Audiovisual data')",HAS_CONTENT
"('r3d100010232', 'Images')",HAS_CONTENT
"('r3d100010232', 'Plain text')",HAS_CONTENT
"('r3d100010232', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010232', 'Software applications')",HAS_CONTENT
"('r3d100010232', 'Standard office documents')",HAS_CONTENT
"('r3d100010232', 'Structured graphics')",HAS_CONTENT
"('r3d100010232', 'Structured text')",HAS_CONTENT
"('r3d100010232', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010267', 'eng')",WRITTEN_IN
"('r3d100010267', '3 Natural Sciences')",ABOUT
"('r3d100010267', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010267', '31302 Oceanography')",ABOUT
"('r3d100010267', '314 Geology and Palaeontology')",ABOUT
"('r3d100010267', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010267', '316 Geochemistry, Mineralogy and Crystallography')",ABOUT
"('r3d100010267', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010267', 'calibration')",CONTAINS
"('r3d100010267', 'chemistry')",CONTAINS
"('r3d100010267', 'core repository')",CONTAINS
"('r3d100010267', 'deep biosphere')",CONTAINS
"('r3d100010267', 'deep sea')",CONTAINS
"('r3d100010267', 'drilling')",CONTAINS
"('r3d100010267', 'marine expeditions')",CONTAINS
"('r3d100010267', 'microbiological samples')",CONTAINS
"('r3d100010267', 'oceanography')",CONTAINS
"('r3d100010267', 'paleomagnetism')",CONTAINS
"('r3d100010267', 'paleontology')",CONTAINS
"('r3d100010267', 'sample distribution')",CONTAINS
"('r3d100010267', 'sediments')",CONTAINS
"('r3d100010267', 'subseafloor ocean')",CONTAINS
"('r3d100010267', 'x-ray')",CONTAINS
"('r3d100010267', 'Images')",HAS_CONTENT
"('r3d100010267', 'Plain text')",HAS_CONTENT
"('r3d100010267', 'Raw data')",HAS_CONTENT
"('r3d100010267', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010267', 'Standard office documents')",HAS_CONTENT
"('r3d100010267', 'Structured graphics')",HAS_CONTENT
"('r3d100010267', 'Structured text')",HAS_CONTENT
"('r3d100010267', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010267', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010286', 'eng')",WRITTEN_IN
"('r3d100010286', '3 Natural Sciences')",ABOUT
"('r3d100010286', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010286', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010286', 'Climate data')",CONTAINS
"('r3d100010286', 'Historical climate data')",CONTAINS
"('r3d100010286', 'Historical weather data')",CONTAINS
"('r3d100010286', 'Weather data')",CONTAINS
"('r3d100010286', 'Images')",HAS_CONTENT
"('r3d100010286', 'Structured text')",HAS_CONTENT
"('r3d100010286', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010286', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010290', 'eng')",WRITTEN_IN
"('r3d100010290', '2 Life Sciences')",ABOUT
"('r3d100010290', '202 Plant Sciences')",ABOUT
"('r3d100010290', '20202 Plant Ecology and Ecosystem Analysis')",ABOUT
"('r3d100010290', '203 Zoology')",ABOUT
"('r3d100010290', '20303 Animal Ecology, Biodiversity and Ecosystem Research')",ABOUT
"('r3d100010290', '204 Microbiology, Virology and Immunology')",ABOUT
"('r3d100010290', '21 Biology')",ABOUT
"('r3d100010290', '22 Medicine')",ABOUT
"('r3d100010290', '3 Natural Sciences')",ABOUT
"('r3d100010290', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010290', '31301 Atmospheric Science')",ABOUT
"('r3d100010290', '318 Water Research')",ABOUT
"('r3d100010290', '31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management')",ABOUT
"('r3d100010290', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010290', 'DNA barcoding')",CONTAINS
"('r3d100010290', 'agriculture systems')",CONTAINS
"('r3d100010290', 'biogeochemistry')",CONTAINS
"('r3d100010290', 'carbon cycling')",CONTAINS
"('r3d100010290', 'climate change')",CONTAINS
"('r3d100010290', 'ecological data')",CONTAINS
"('r3d100010290', 'ecological informatics')",CONTAINS
"('r3d100010290', 'ecology')",CONTAINS
"('r3d100010290', 'environmental sensors')",CONTAINS
"('r3d100010290', 'forest management')",CONTAINS
"('r3d100010290', 'freshwater ecosystems')",CONTAINS
"('r3d100010290', 'instrumented systems')",CONTAINS
"('r3d100010290', 'invasion biology')",CONTAINS
"('r3d100010290', 'metagenomes')",CONTAINS
"('r3d100010290', 'remote sensing')",CONTAINS
"('r3d100010290', 'soil')",CONTAINS
"('r3d100010290', 'specimens')",CONTAINS
"('r3d100010290', 'terrestrial ecosystems')",CONTAINS
"('r3d100010290', 'urban ecosystems')",CONTAINS
"('r3d100010290', 'water quality')",CONTAINS
"('r3d100010290', 'Images')",HAS_CONTENT
"('r3d100010290', 'Plain text')",HAS_CONTENT
"('r3d100010290', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010290', 'Standard office documents')",HAS_CONTENT
"('r3d100010290', 'Structured text')",HAS_CONTENT
"('r3d100010290', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010290', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010299', 'deu')",WRITTEN_IN
"('r3d100010299', 'eng')",WRITTEN_IN
"('r3d100010299', '3 Natural Sciences')",ABOUT
"('r3d100010299', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010299', '31301 Atmospheric Science')",ABOUT
"('r3d100010299', '31302 Oceanography')",ABOUT
"('r3d100010299', '314 Geology and Palaeontology')",ABOUT
"('r3d100010299', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010299', 'CERA database')",CONTAINS
"('r3d100010299', 'climate')",CONTAINS
"('r3d100010299', 'climate simulation')",CONTAINS
"('r3d100010299', 'cryosphere')",CONTAINS
"('r3d100010299', 'data assimilation')",CONTAINS
